Date,ln std,ln std(-1),ln std(-2),ln VIX(-1),ln VIX(-2),R(-1),R(-2)
1996-09-12,2.28887,2.74115,2.37782,2.74535,2.87976,3.11305,-3.94103
1996-10-14,2.06598,2.28887,2.74115,2.77071,2.74535,0.80809,3.11305
1996-11-13,2.08443,2.06598,2.28887,2.71668,2.77071,4.82604,0.80809
1996-12-16,2.4209,2.08443,2.06598,2.70069,2.71668,3.9216,4.82604
1997-01-17,2.51712,2.4209,2.08443,3.09059,2.70069,-1.38826,3.9216
1997-02-20,2.63674,2.51712,2.4209,2.92477,3.09059,7.65486,-1.38826
1997-03-24,2.5579,2.63674,2.51712,3.06386,2.92477,3.36037,7.65486
1997-04-24,2.90546,2.5579,2.63674,2.99873,3.06386,-1.48356,3.36037
1997-05-27,2.82999,2.90546,2.5579,3.03639,2.99873,-2.49213,-1.48356
1997-06-26,2.69795,2.82999,2.90546,2.96321,3.03639,10.1831,-2.49213
1997-07-29,2.64254,2.69795,2.82999,3.08283,2.96321,3.99783,10.1831
1997-08-28,2.82578,2.64254,2.69795,3.09195,3.08283,6.63249,3.99783
1997-09-30,2.83684,2.82578,2.64254,3.19908,3.09195,-4.09853,6.63249
1997-10-30,3.47642,2.83684,2.82578,3.13157,3.19908,4.82588,-4.09853
1997-12-03,2.9158,3.47642,2.83684,3.64284,3.13157,-4.60265,4.82588
1998-01-06,2.7015,2.9158,3.47642,3.17471,3.64284,6.79517,-4.60265
1998-02-06,2.88436,2.7015,2.9158,3.24493,3.17471,-1.04323,6.79517
1998-03-11,2.40715,2.88436,2.7015,3.02091,3.24493,4.74663,-1.04323
1998-04-13,2.20961,2.40715,2.88436,2.93863,3.02091,5.53207,4.74663
1998-05-13,2.64078,2.20961,2.40715,3.12544,2.93863,3.85785,5.53207
1998-06-15,2.61462,2.64078,2.20961,3.01749,3.12544,0.82636,3.85785
1998-07-16,2.40873,2.61462,2.64078,3.25579,3.01749,-3.74041,0.82636
1998-08-17,3.03344,2.40873,2.61462,2.83145,3.25579,9.93306,-3.74041
1998-09-17,3.68792,3.03344,2.40873,3.46135,2.83145,-8.47304,9.93306
1998-10-19,3.35677,3.68792,3.03344,3.66944,3.46135,-5.97968,-8.47304
1998-11-18,2.4091,3.35677,3.68792,3.50044,3.66944,4.2714,-5.97968
1998-12-21,3.02545,2.4091,3.35677,3.30064,3.50044,7.72692,4.2714
1999-01-25,2.96166,3.02545,2.4091,3.1722,3.30064,5.09926,7.72692
1999-02-25,3.08418,2.96166,3.02545,3.43817,3.1722,2.58887,5.09926
1999-03-29,2.91022,3.08418,2.96166,3.33256,3.43817,0.89467,2.58887
1999-04-29,2.89187,2.91022,3.08418,3.1587,3.33256,5.23285,0.89467
1999-06-01,2.93546,2.89187,2.91022,3.22127,3.1587,2.49281,5.23285
1999-07-01,2.76771,2.93546,2.89187,3.28166,3.22127,-3.61699,2.49281
1999-08-03,2.5772,2.76771,2.93546,2.98011,3.28166,6.69881,-3.61699
1999-09-02,2.89519,2.5772,2.76771,3.26843,2.98011,-4.25646,6.69881
1999-10-05,2.89363,2.89519,2.5772,3.1999,3.26843,-0.23219,-4.25646
1999-11-04,3.13349,2.89363,2.89519,3.21044,3.1999,-1.34636,-0.23219
1999-12-07,2.64312,3.13349,2.89363,3.13549,3.21044,4.70972,-1.34636
2000-01-07,2.89812,2.64312,3.13349,3.0488,3.13549,3.4147,4.70972
2000-02-09,3.02647,2.89812,2.64312,3.07823,3.0488,2.29213,3.4147
2000-03-13,3.09703,3.02647,2.89812,3.13114,3.07823,-2.06456,2.29213
2000-04-12,3.1996,3.09703,3.02647,3.12895,3.13114,-1.98979,-2.06456
2000-05-15,3.50141,3.1996,3.09703,3.36661,3.12895,6.03851,-1.98979
2000-06-15,3.06462,3.50141,3.1996,3.21326,3.36661,-1.00943,6.03851
2000-07-18,2.7015,3.06462,3.50141,3.02917,3.21326,1.81567,-1.00943
2000-08-17,2.70109,2.7015,3.06462,2.98315,3.02917,1.01506,1.81567
2000-09-19,2.33538,2.70109,2.7015,2.86106,2.98315,0.15598,1.01506
2000-10-19,3.16837,2.33538,2.70109,2.97246,2.86106,-2.41767,0.15598
2000-11-20,2.99847,3.16837,2.33538,3.22247,2.97246,-4.87294,-2.41767
2000-12-21,3.21607,2.99847,3.16837,3.31164,3.22247,-3.32239,-4.87294
2001-01-25,3.22187,3.21607,2.99847,3.3898,3.31164,-5.04685,-3.32239
2001-02-27,2.76447,3.22187,3.21607,3.11972,3.3898,6.48306,-5.04685
2001-03-29,3.3346,2.76447,3.22187,3.27677,3.11972,-7.33475,6.48306
2001-05-01,3.36123,3.3346,2.76447,3.37314,3.27677,-8.74366,-7.33475
2001-06-01,2.80107,3.36123,3.3346,3.18635,3.37314,10.32188,-8.74366
2001-07-03,2.59917,2.80107,3.36123,3.07223,3.18635,-0.45561,10.32188
2001-08-03,2.89302,2.59917,2.80107,2.94022,3.07223,-2.07985,-0.45561
2001-09-05,2.70327,2.89302,2.59917,2.99022,2.94022,-1.62826,-2.07985
2001-10-11,3.44361,2.70327,2.89302,3.27147,2.99022,-6.80282,-1.62826
2001-11-12,2.88255,3.44361,2.70327,3.44999,3.27147,-3.03162,-6.80282
2001-12-13,2.83372,2.88255,3.44361,3.37929,3.44999,1.90445,-3.03162
2002-01-16,2.44552,2.83372,2.88255,3.25463,3.37929,0.09389,1.90445
2002-02-19,2.95009,2.44552,2.83372,3.15487,3.25463,0.73166,0.09389
2002-03-21,2.79746,2.95009,2.44552,3.19581,3.15487,-3.92259,0.73166
2002-04-23,2.7326,2.79746,2.95009,2.89867,3.19581,6.48458,-3.92259
2002-05-23,3.09879,2.7326,2.79746,3.00964,2.89867,-4.56228,6.48458
2002-06-25,2.93037,3.09879,2.7326,2.90307,3.00964,-0.35242,-4.56228
2002-07-26,3.60774,2.93037,3.09879,3.32647,2.90307,-11.02381,-0.35242
2002-08-27,3.59939,3.60774,2.93037,3.56981,3.32647,-12.63138,-11.02381
2002-09-27,3.33254,3.59939,3.60774,3.40486,3.56981,9.61259,-12.63138
2002-10-29,3.58979,3.33254,3.59939,3.61011,3.40486,-11.49419,9.61259
2002-11-29,3.11125,3.58979,3.33254,3.47414,3.61011,6.62098,-11.49419
2003-01-02,3.02561,3.11125,3.58979,3.31419,3.47414,6.13955,6.62098
2003-02-04,3.07449,3.02561,3.11125,3.23436,3.31419,-2.91356,6.13955
2003-03-07,2.89499,3.07449,3.02561,3.48921,3.23436,-6.69175,-2.91356
2003-04-08,3.29032,2.89499,3.07449,3.43656,3.48921,-2.27659,-6.69175
2003-05-09,2.86053,3.29032,2.89499,3.30064,3.43656,5.95978,-2.27659
2003-06-11,2.73023,2.86053,3.29032,2.98011,3.30064,6.27583,5.95978
